,0
0,124096.305
1,145892.31
2,168404.22
3,176398.61
4,205301.11
5,176180.56
6,166625.38
7,167339.44
8,186807.78
9,116308.5
10,190616.0
11,96961.75
12,95583.56
13,155994.61
14,143276.95
15,403776.2
16,273485.47
17,304641.28
18,299426.38
19,489765.38
20,334017.38
21,212412.19
22,171525.53
23,181744.19
24,159224.92
25,198385.53
26,360980.22
27,259234.03
28,207353.0
29,184043.02
30,195423.31
31,100236.56
32,183301.89
33,306507.8
34,298659.22
35,209721.98
36,199364.75
37,157925.42
38,157925.42
39,144083.89
40,172178.95
41,141791.11
42,263908.4
43,232996.34
44,214941.06
45,188642.8
46,233757.97
47,196198.64
48,160319.72
49,146325.38
50,145370.39
51,162608.03
52,143596.1
53,158241.25
54,215866.08
55,151046.58
56,149211.83
57,159915.97
58,215538.8
59,135284.08
60,137717.67
61,171814.0
62,117905.414
63,115545.336
64,120731.75
65,122201.97
66,101485.46
67,137069.22
68,144415.3
69,163314.38
70,98616.12
71,87116.945
72,146462.47
73,136801.38
74,153041.75
75,115259.74
76,82268.484
77,173651.22
78,192717.11
79,108240.47
80,153520.2
81,149909.86
82,228119.62
83,77618.32
84,100240.87
85,118573.08
86,126769.76
87,131076.33
88,103358.47
89,137408.72
90,126893.25
91,124478.805
92,132175.56
93,117856.74
94,154575.47
95,99147.32
96,103035.27
97,90766.3
98,94817.125
99,124465.02
100,139804.66
101,131386.81
102,118829.37
103,154085.34
104,140502.77
105,211988.03
106,80601.74
107,202619.81
108,125069.125
109,129750.65
110,130212.53
111,144584.11
112,235709.55
113,145772.28
114,197359.72
115,197616.44
116,203266.23
117,134400.89
118,143046.62
119,198243.31
120,136214.25
121,127427.08
122,339319.78
123,237577.28
124,145358.47
125,76018.38
126,102011.78
127,137230.11
128,108647.734
129,137654.9
130,94521.086
131,131576.55
132,117649.99
133,118794.016
134,118315.99
135,239824.78
136,179407.48
137,182464.73
138,188271.69
139,204404.98
140,54854.91
141,115171.836
142,76881.234
143,253818.1
144,253241.94
145,158625.81
146,213751.36
147,215420.83
148,200987.42
149,142619.72
150,145044.83
